timestamp,elapsed_seconds,left_ear,right_ear,average_ear,smoothed_ear,eye_state,blink_event,blink_duration,face_detected
2026-08-11T22:34:43.082261,0.5181,0.415239,0.386313,0.400776,0.400776,OPEN,0,0.0,1
2026-08-11T22:34:43.208224,0.6526,0.389631,0.378179,0.383905,0.394871,OPEN,0,0.0,1
2026-08-11T22:34:43.239054,0.6848,0.394445,0.386406,0.390425,0.393315,OPEN,0,0.0,1
2026-08-11T22:34:43.262705,0.7098,0.402126,0.391128,0.396627,0.394474,OPEN,0,0.0,1
2026-08-11T22:34:43.303597,0.7492,0.399204,0.384491,0.391848,0.393555,OPEN,0,0.0,1
2026-08-11T22:34:43.333925,0.7814,0.396209,0.380832,0.388521,0.391793,OPEN,0,0.0,1
2026-08-11T22:34:43.357589,0.8049,0.393966,0.37904,0.386503,0.389942,OPEN,0,0.0,1
2026-08-11T22:34:43.414481,0.8597,0.405471,0.391196,0.398334,0.392879,OPEN,0,0.0,1
2026-08-11T22:34:43.436608,0.8835,0.411301,0.395489,0.403395,0.39656,OPEN,0,0.0,1
2026-08-11T22:34:43.460748,0.9076,0.415861,0.398921,0.407391,0.400351,OPEN,0,0.0,1
2026-08-11T22:34:43.510227,0.9581,0.413369,0.395662,0.404516,0.401808,OPEN,0,0.0,1
2026-08-11T22:34:43.532568,0.9793,0.411221,0.392007,0.401614,0.40174,OPEN,0,0.0,1
2026-08-11T22:34:43.566180,1.0133,0.409414,0.389271,0.399343,0.400901,OPEN,0,0.0,1
2026-08-11T22:34:43.604227,1.0509,0.412032,0.391615,0.401824,0.401224,OPEN,0,0.0,1
2026-08-11T22:34:43.636889,1.0844,0.412033,0.390829,0.401431,0.401297,OPEN,0,0.0,1
2026-08-11T22:34:43.671964,1.117,0.412083,0.391654,0.401868,0.401497,OPEN,0,0.0,1
2026-08-11T22:34:43.706998,1.1532,0.403174,0.401313,0.402243,0.401758,OPEN,0,0.0,1
2026-08-11T22:34:43.730329,1.1763,0.399001,0.403061,0.401031,0.401504,OPEN,0,0.0,1
2026-08-11T22:34:43.765273,1.2112,0.39443,0.401169,0.3978,0.400207,OPEN,0,0.0,1
2026-08-11T22:34:43.811248,1.259,0.400814,0.402689,0.401752,0.400748,OPEN,0,0.0,1
2026-08-11T22:34:43.849898,1.2925,0.405015,0.405641,0.405328,0.402351,OPEN,0,0.0,1
2026-08-11T22:34:43.879610,1.3261,0.40762,0.405128,0.406374,0.403759,OPEN,0,0.0,1
2026-08-11T22:34:43.914524,1.3604,0.405749,0.40712,0.406435,0.404695,OPEN,0,0.0,1
2026-08-11T22:34:43.951269,1.3941,0.406118,0.410973,0.408545,0.406043,OPEN,0,0.0,1
2026-08-11T22:34:43.982249,1.4277,0.405936,0.411461,0.408699,0.406972,OPEN,0,0.0,1
2026-08-11T22:34:44.010732,1.4572,0.411023,0.41481,0.412916,0.409053,OPEN,0,0.0,1
2026-08-11T22:34:44.032619,1.4798,0.413483,0.416783,0.415133,0.411181,OPEN,0,0.0,1
2026-08-11T22:34:44.067653,1.5144,0.416219,0.418657,0.417438,0.413371,OPEN,0,0.0,1
2026-08-11T22:34:44.102614,1.5495,0.42888,0.433118,0.430999,0.419541,OPEN,0,0.0,1
2026-08-11T22:34:44.135506,1.5825,0.436514,0.440344,0.438429,0.426152,OPEN,0,0.0,1
2026-08-11T22:34:44.157342,1.6047,0.440359,0.443665,0.442012,0.431703,OPEN,0,0.0,1
2026-08-11T22:34:44.219168,1.6655,0.445592,0.445921,0.445757,0.436622,OPEN,0,0.0,1
2026-08-11T22:34:44.243329,1.6897,0.44668,0.446601,0.446641,0.440128,OPEN,0,0.0,1
2026-08-11T22:34:44.265109,1.7126,0.447669,0.447211,0.44744,0.442687,OPEN,0,0.0,1
2026-08-11T22:34:44.307598,1.7558,0.351523,0.240093,0.295808,0.39128,OPEN,0,0.0,1
