timestamp,elapsed,face_detected,left_ear,right_ear,average_ear,smoothed_ear,closing_threshold,opening_threshold,eye_state,closure_duration,blink_event,blink_count
0.0013,0.0013,1,0.36783,0.36667,0.36725,0.36725,0.26254,0.30887,OPEN,,0,0
0.0867,0.0867,1,0.35212,0.35663,0.35437,0.36081,0.26254,0.30887,OPEN,,0,0
0.1696,0.1696,1,0.34797,0.36036,0.35416,0.35437,0.26254,0.30887,OPEN,,0,0
0.2652,0.2652,1,0.34426,0.3595,0.35188,0.35416,0.26254,0.30887,OPEN,,0,0
0.3447,0.3447,1,0.34208,0.35961,0.35085,0.35188,0.26254,0.30887,OPEN,,0,0
0.4154,0.4154,1,0.33927,0.3489,0.34408,0.35085,0.26254,0.30887,OPEN,,0,0
0.5062,0.5062,1,0.34954,0.36181,0.35567,0.35085,0.26254,0.30887,OPEN,,0,0
0.6009,0.6009,1,0.37203,0.38329,0.37766,0.35567,0.26254,0.30887,OPEN,,0,0
0.6988,0.6988,1,0.37899,0.39978,0.38938,0.37766,0.26254,0.30887,OPEN,,0,0
0.7786,0.7786,1,0.36703,0.38636,0.3767,0.37766,0.26254,0.30887,OPEN,,0,0
0.8456,0.8456,1,0.35442,0.37559,0.365,0.3767,0.26254,0.30887,OPEN,,0,0
0.9356,0.9356,1,0.36518,0.3831,0.37414,0.37414,0.26254,0.30887,OPEN,,0,0
1.0327,1.0327,1,0.36308,0.38572,0.3744,0.37414,0.26254,0.30887,OPEN,,0,0
1.1295,1.1295,1,0.38528,0.40516,0.39522,0.3744,0.26254,0.30887,OPEN,,0,0
1.2096,1.2096,1,0.39715,0.41669,0.40692,0.39522,0.26254,0.30887,OPEN,,0,0
1.2766,1.2766,1,0.39559,0.41472,0.40516,0.40516,0.26254,0.30887,OPEN,,0,0
1.3692,1.3692,1,0.4053,0.41871,0.41201,0.40692,0.26254,0.30887,OPEN,,0,0
1.4653,1.4653,1,0.4197,0.42571,0.42271,0.41201,0.26254,0.30887,OPEN,,0,0
1.5609,1.5609,1,0.41904,0.43204,0.42554,0.42271,0.26254,0.30887,OPEN,,0,0
1.6425,1.6425,1,0.41758,0.43389,0.42573,0.42554,0.26254,0.30887,OPEN,,0,0
1.7107,1.7107,1,0.41942,0.43897,0.42919,0.42573,0.26254,0.30887,OPEN,,0,0
1.8007,1.8007,1,0.41854,0.43801,0.42828,0.42828,0.26254,0.30887,OPEN,,0,0
1.8963,1.8963,1,0.42004,0.44113,0.43059,0.42919,0.26254,0.30887,OPEN,,0,0
1.9924,1.9924,1,0.42681,0.44498,0.43589,0.43059,0.26254,0.30887,OPEN,,0,0
2.0727,2.0727,1,0.44105,0.45366,0.44735,0.43589,0.26254,0.30887,OPEN,,0,0
2.143,2.143,1,0.17592,0.14249,0.15921,0.43589,0.26254,0.30887,OPEN,,0,0
2.2332,2.2332,1,0.26888,0.2447,0.25679,0.25679,0.26254,0.30887,CLOSING,,0,0
2.3283,2.3283,1,0.35687,0.34747,0.35217,0.25679,0.26254,0.30887,CLOSED,0.09503,0,0
2.425,2.425,1,0.40071,0.38579,0.39325,0.35217,0.26254,0.30887,OPENING,0.19177,0,0
2.507,2.507,1,0.41665,0.41383,0.41524,0.39325,0.26254,0.30887,OPEN,0.27379,1,1
2.6019,2.6019,1,0.42869,0.4409,0.43479,0.41524,0.26254,0.30887,OPEN,,0,1
2.6976,2.6976,1,0.4253,0.44729,0.4363,0.43479,0.26254,0.30887,OPEN,,0,1
2.7935,2.7935,1,0.43042,0.44408,0.43725,0.4363,0.26254,0.30887,OPEN,,0,1
2.9049,2.9049,1,0.43235,0.44548,0.43891,0.43725,0.26254,0.30887,OPEN,,0,1
3.0017,3.0017,1,0.43593,0.45056,0.44324,0.43891,0.26254,0.30887,OPEN,,0,1
3.0951,3.0951,1,0.44019,0.45238,0.44629,0.44324,0.26254,0.30887,OPEN,,0,1
3.1926,3.1926,1,0.42226,0.42918,0.42572,0.44324,0.26254,0.30887,OPEN,,0,1
3.3031,3.3031,1,0.17309,0.16854,0.17082,0.42572,0.26254,0.30887,OPEN,,0,1
3.4019,3.4019,1,0.2472,0.25367,0.25044,0.25044,0.26254,0.30887,CLOSING,,0,1
3.4702,3.4702,1,0.33247,0.35074,0.3416,0.25044,0.26254,0.30887,CLOSED,0.0683,0,1
3.5616,3.5616,1,0.41697,0.42754,0.42225,0.3416,0.26254,0.30887,OPENING,0.15967,0,1
3.6607,3.6607,1,0.44023,0.45639,0.44831,0.42225,0.26254,0.30887,OPEN,0.25881,1,2
3.7381,3.7381,1,0.43347,0.44775,0.44061,0.44061,0.26254,0.30887,OPEN,,0,2
3.8333,3.8333,1,0.43681,0.459,0.4479,0.4479,0.26254,0.30887,OPEN,,0,2
3.9025,3.9025,1,0.44743,0.47117,0.4593,0.4479,0.26254,0.30887,OPEN,,0,2
3.9928,3.9928,1,0.45539,0.47519,0.46529,0.4593,0.26254,0.30887,OPEN,,0,2
4.0899,4.0899,1,0.46518,0.48256,0.47387,0.46529,0.26254,0.30887,OPEN,,0,2
4.1669,4.1669,1,0.4641,0.4824,0.47325,0.47325,0.26254,0.30887,OPEN,,0,2
