timestamp,elapsed,face_detected,left_ear,right_ear,average_ear,smoothed_ear,closing_threshold,opening_threshold,eye_state,closure_duration,blink_event,blink_count
0.006,0.006,1,0.40869,0.37136,0.39003,0.39003,0.26881,0.31624,OPEN,,0,0
0.1103,0.1103,1,0.40879,0.37297,0.39088,0.39045,0.26881,0.31624,OPEN,,0,0
0.2216,0.2216,1,0.41432,0.37501,0.39467,0.39088,0.26881,0.31624,OPEN,,0,0
0.3111,0.3111,1,0.41884,0.37934,0.39909,0.39467,0.26881,0.31624,OPEN,,0,0
0.4175,0.4175,1,0.4153,0.37137,0.39333,0.39467,0.26881,0.31624,OPEN,,0,0
0.5068,0.5068,1,0.40314,0.35934,0.38124,0.39333,0.26881,0.31624,OPEN,,0,0
0.6207,0.6207,1,0.4004,0.35853,0.37946,0.38124,0.26881,0.31624,OPEN,,0,0
0.7111,0.7111,1,0.39975,0.3593,0.37953,0.37953,0.26881,0.31624,OPEN,,0,0
0.8076,0.8076,1,0.39752,0.36288,0.3802,0.37953,0.26881,0.31624,OPEN,,0,0
0.9093,0.9093,1,0.40569,0.36515,0.38542,0.3802,0.26881,0.31624,OPEN,,0,0
0.9775,0.9775,1,0.40782,0.36541,0.38661,0.38542,0.26881,0.31624,OPEN,,0,0
1.0468,1.0468,1,0.41542,0.36512,0.39027,0.38661,0.26881,0.31624,OPEN,,0,0
1.1164,1.1164,1,0.43214,0.38508,0.40861,0.39027,0.26881,0.31624,OPEN,,0,0
1.2079,1.2079,1,0.44775,0.41375,0.43075,0.40861,0.26881,0.31624,OPEN,,0,0
1.317,1.317,1,0.44514,0.41608,0.43061,0.43061,0.26881,0.31624,OPEN,,0,0
1.3855,1.3855,1,0.45458,0.42474,0.43966,0.43075,0.26881,0.31624,OPEN,,0,0
1.5264,1.5264,1,0.4552,0.41742,0.43631,0.43631,0.26881,0.31624,OPEN,,0,0
1.6085,1.6085,1,0.22894,0.18237,0.20566,0.43631,0.26881,0.31624,OPEN,,0,0
1.7229,1.7229,1,0.20179,0.13182,0.16681,0.20566,0.26881,0.31624,CLOSING,,0,0
1.8133,1.8133,1,0.33085,0.26535,0.2981,0.20566,0.26881,0.31624,CLOSED,0.09041,0,0
1.9263,1.9263,1,0.43935,0.39008,0.41472,0.2981,0.26881,0.31624,CLOSED,0.20336,0,0
2.0102,2.0102,1,0.44586,0.42622,0.43604,0.41472,0.26881,0.31624,OPENING,0.28733,0,0
2.1215,2.1215,1,0.44633,0.43303,0.43968,0.43604,0.26881,0.31624,OPEN,0.39861,1,1
2.199,2.199,1,0.44797,0.43553,0.44175,0.43968,0.26881,0.31624,OPEN,,0,1
2.2717,2.2717,1,0.46412,0.45449,0.4593,0.44175,0.26881,0.31624,OPEN,,0,1
2.4126,2.4126,1,0.45573,0.45243,0.45408,0.45408,0.26881,0.31624,OPEN,,0,1
2.5417,2.5417,1,0.46598,0.46245,0.46421,0.4593,0.26881,0.31624,OPEN,,0,1
2.6143,2.6143,1,0.46401,0.45633,0.46017,0.46017,0.26881,0.31624,OPEN,,0,1
2.7181,2.7181,1,0.45778,0.45246,0.45512,0.46017,0.26881,0.31624,OPEN,,0,1
2.8074,2.8074,1,0.46832,0.45999,0.46415,0.46017,0.26881,0.31624,OPEN,,0,1
2.924,2.924,1,0.47964,0.46948,0.47456,0.46415,0.26881,0.31624,OPEN,,0,1
3.0184,3.0184,1,0.45094,0.43013,0.44053,0.46415,0.26881,0.31624,OPEN,,0,1
3.1114,3.1114,1,0.33951,0.29621,0.31786,0.44053,0.26881,0.31624,OPEN,,0,1
3.2156,3.2156,1,0.35298,0.27085,0.31191,0.31786,0.26881,0.31624,OPEN,,0,1
3.3225,3.3225,1,0.352,0.29949,0.32575,0.31786,0.26881,0.31624,OPEN,,0,1
3.4155,3.4155,1,0.43586,0.38898,0.41242,0.32575,0.26881,0.31624,OPEN,,0,1
3.5174,3.5174,1,0.42946,0.41112,0.42029,0.41242,0.26881,0.31624,OPEN,,0,1
3.6254,3.6254,1,0.45478,0.45125,0.45302,0.42029,0.26881,0.31624,OPEN,,0,1
3.7271,3.7271,1,0.45621,0.45495,0.45558,0.45302,0.26881,0.31624,OPEN,,0,1
3.8156,3.8156,1,0.44994,0.4523,0.45112,0.45302,0.26881,0.31624,OPEN,,0,1
3.9092,3.9092,1,0.46122,0.46361,0.46241,0.45558,0.26881,0.31624,OPEN,,0,1
4.0317,4.0317,1,0.45061,0.45714,0.45388,0.45388,0.26881,0.31624,OPEN,,0,1
4.1218,4.1218,1,0.43983,0.45561,0.44772,0.45388,0.26881,0.31624,OPEN,,0,1
4.216,4.216,1,0.44373,0.4497,0.44672,0.44772,0.26881,0.31624,OPEN,,0,1
4.3194,4.3194,1,0.44259,0.44852,0.44555,0.44672,0.26881,0.31624,OPEN,,0,1
4.4256,4.4256,1,0.45386,0.45461,0.45424,0.44672,0.26881,0.31624,OPEN,,0,1
4.5283,4.5283,1,0.43938,0.44915,0.44426,0.44555,0.26881,0.31624,OPEN,,0,1
4.6167,4.6167,1,0.44035,0.45008,0.44522,0.44522,0.26881,0.31624,OPEN,,0,1
4.7169,4.7169,1,0.4398,0.44726,0.44353,0.44426,0.26881,0.31624,OPEN,,0,1
4.8256,4.8256,1,0.44914,0.44196,0.44555,0.44522,0.26881,0.31624,OPEN,,0,1
4.9212,4.9212,1,0.45257,0.44364,0.4481,0.44555,0.26881,0.31624,OPEN,,0,1
