timestamp,elapsed,face_detected,left_ear,right_ear,average_ear,smoothed_ear,closing_threshold,opening_threshold,eye_state,closure_duration,blink_event,blink_count
0.0025,0.0025,0,,,,,0.25084,0.2951,OPEN,,0,0
0.0804,0.0804,1,0.34868,0.34305,0.34587,0.34587,0.25084,0.2951,OPEN,,0,0
0.1646,0.1646,1,0.34561,0.34457,0.34509,0.34548,0.25084,0.2951,OPEN,,0,0
0.2667,0.2667,1,0.34633,0.34724,0.34678,0.34587,0.25084,0.2951,OPEN,,0,0
0.3725,0.3725,1,0.34186,0.34736,0.34461,0.34509,0.25084,0.2951,OPEN,,0,0
0.4706,0.4706,1,0.34042,0.3492,0.34481,0.34481,0.25084,0.2951,OPEN,,0,0
0.5699,0.5699,1,0.34244,0.35008,0.34626,0.34481,0.25084,0.2951,OPEN,,0,0
0.663,0.663,1,0.35049,0.35103,0.35076,0.34626,0.25084,0.2951,OPEN,,0,0
0.7836,0.7836,1,0.3666,0.36265,0.36462,0.35076,0.25084,0.2951,OPEN,,0,0
0.8677,0.8677,1,0.37487,0.37193,0.3734,0.36462,0.25084,0.2951,OPEN,,0,0
0.966,0.966,1,0.36916,0.36999,0.36958,0.36958,0.25084,0.2951,OPEN,,0,0
1.0346,1.0346,1,0.37005,0.36452,0.36729,0.36958,0.25084,0.2951,OPEN,,0,0
1.1135,1.1135,1,0.38856,0.3609,0.37473,0.36958,0.25084,0.2951,OPEN,,0,0
1.1869,1.1869,1,0.37639,0.3751,0.37575,0.37473,0.25084,0.2951,OPEN,,0,0
1.2684,1.2684,1,0.37313,0.37679,0.37496,0.37496,0.25084,0.2951,OPEN,,0,0
1.3666,1.3666,1,0.38286,0.36905,0.37596,0.37575,0.25084,0.2951,OPEN,,0,0
1.4766,1.4766,1,0.35892,0.36599,0.36245,0.37496,0.25084,0.2951,OPEN,,0,0
1.5807,1.5807,1,0.35492,0.34788,0.3514,0.36245,0.25084,0.2951,OPEN,,0,0
1.6721,1.6721,1,0.37715,0.37145,0.3743,0.36245,0.25084,0.2951,OPEN,,0,0
1.7657,1.7657,1,0.37719,0.38045,0.37882,0.3743,0.25084,0.2951,OPEN,,0,0
1.8822,1.8822,1,0.38541,0.38028,0.38285,0.37882,0.25084,0.2951,OPEN,,0,0
1.9505,1.9505,1,0.37485,0.37056,0.37271,0.37882,0.25084,0.2951,OPEN,,0,0
2.0262,2.0262,1,0.35501,0.34855,0.35178,0.37271,0.25084,0.2951,OPEN,,0,0
2.1066,2.1066,1,0.09828,0.1006,0.09944,,0.25084,0.2951,OPEN,,0,0
2.1749,2.1749,1,0.15037,0.14501,0.14769,0.35178,0.25084,0.2951,OPEN,,0,0
2.2776,2.2776,1,0.29644,0.29559,0.29602,0.29602,0.25084,0.2951,OPEN,,0,0
2.3732,2.3732,1,0.36608,0.36827,0.36718,0.29602,0.25084,0.2951,OPEN,,0,0
2.4707,2.4707,1,0.38461,0.38901,0.38681,0.36718,0.25084,0.2951,OPEN,,0,0
2.5391,2.5391,1,0.38154,0.38775,0.38465,0.38465,0.25084,0.2951,OPEN,,0,0
2.6218,2.6218,1,0.39764,0.39881,0.39822,0.38681,0.25084,0.2951,OPEN,,0,0
2.7032,2.7032,1,0.37211,0.38264,0.37737,0.38465,0.25084,0.2951,OPEN,,0,0
2.7746,2.7746,1,0.34497,0.32595,0.33546,0.37737,0.25084,0.2951,OPEN,,0,0
2.8725,2.8725,1,0.11942,0.15849,0.13895,0.33546,0.25084,0.2951,OPEN,,0,0
2.9665,2.9665,1,0.12514,0.13597,0.13056,0.13895,0.25084,0.2951,CLOSING,,0,0
3.0813,3.0813,1,0.31679,0.32477,0.32078,0.13895,0.25084,0.2951,CLOSED,0.11485,0,0
3.1748,3.1748,1,0.36327,0.3662,0.36473,0.32078,0.25084,0.2951,OPENING,0.20829,0,0
3.2733,3.2733,1,0.37229,0.38369,0.37799,0.36473,0.25084,0.2951,OPEN,0.30684,1,1
3.3713,3.3713,1,0.37571,0.3896,0.38266,0.37799,0.25084,0.2951,OPEN,,0,1
3.4775,3.4775,1,0.396,0.41021,0.40311,0.38266,0.25084,0.2951,OPEN,,0,1
3.5764,3.5764,1,0.1872,0.19557,0.19138,0.38266,0.25084,0.2951,OPEN,,0,1
3.6759,3.6759,1,0.13338,0.20468,0.16903,0.19138,0.25084,0.2951,CLOSING,,0,1
3.781,3.781,1,0.313,0.32228,0.31764,0.19138,0.25084,0.2951,CLOSED,0.10514,0,1
3.8819,3.8819,1,0.36892,0.38548,0.3772,0.31764,0.25084,0.2951,OPENING,0.20608,0,1
3.9764,3.9764,1,0.39796,0.40706,0.40251,0.3772,0.25084,0.2951,OPEN,0.30059,1,2
4.0675,4.0675,1,0.38986,0.41108,0.40047,0.40047,0.25084,0.2951,OPEN,,0,2
4.1895,4.1895,1,0.39097,0.40951,0.40024,0.40047,0.25084,0.2951,OPEN,,0,2
4.2784,4.2784,1,0.39541,0.41046,0.40294,0.40047,0.25084,0.2951,OPEN,,0,2
4.3732,4.3732,1,0.39927,0.41445,0.40686,0.40294,0.25084,0.2951,OPEN,,0,2
4.4719,4.4719,1,0.33046,0.35141,0.34093,0.40294,0.25084,0.2951,OPEN,,0,2
4.5809,4.5809,1,0.11217,0.11133,0.11175,0.34093,0.25084,0.2951,OPEN,,0,2
4.6796,4.6796,1,0.15674,0.18581,0.17128,0.17128,0.25084,0.2951,CLOSING,,0,2
4.7753,4.7753,1,0.28066,0.3133,0.29698,0.17128,0.25084,0.2951,CLOSED,0.09576,0,2
4.8725,4.8725,1,0.32928,0.37197,0.35063,0.29698,0.25084,0.2951,OPENING,0.19297,0,2
4.9817,4.9817,1,0.33472,0.37617,0.35544,0.35063,0.25084,0.2951,OPEN,0.30213,1,3
5.0777,5.0777,1,0.34551,0.3807,0.3631,0.35544,0.25084,0.2951,OPEN,,0,3
5.1794,5.1794,1,0.35855,0.38749,0.37302,0.3631,0.25084,0.2951,OPEN,,0,3
5.27,5.27,1,0.36421,0.38748,0.37584,0.37302,0.25084,0.2951,OPEN,,0,3
5.4008,5.4008,1,0.28721,0.28671,0.28696,0.37302,0.25084,0.2951,OPEN,,0,3
5.4782,5.4782,1,0.14237,0.16516,0.15377,0.28696,0.25084,0.2951,OPEN,,0,3
5.5732,5.5732,1,0.26828,0.30124,0.28476,0.28476,0.25084,0.2951,OPEN,,0,3
5.6769,5.6769,1,0.32819,0.34363,0.33591,0.28476,0.25084,0.2951,OPEN,,0,3
5.7853,5.7853,1,0.35557,0.37129,0.36343,0.33591,0.25084,0.2951,OPEN,,0,3
5.8767,5.8767,1,0.3721,0.39664,0.38437,0.36343,0.25084,0.2951,OPEN,,0,3
5.9823,5.9823,1,0.3773,0.40079,0.38904,0.38437,0.25084,0.2951,OPEN,,0,3
6.0881,6.0881,1,0.3834,0.40458,0.39399,0.38904,0.25084,0.2951,OPEN,,0,3
6.1835,6.1835,1,0.3839,0.39536,0.38963,0.38963,0.25084,0.2951,OPEN,,0,3
6.2792,6.2792,1,0.18906,0.21511,0.20208,0.38963,0.25084,0.2951,OPEN,,0,3
6.373,6.373,1,0.23306,0.2503,0.24168,0.24168,0.25084,0.2951,CLOSING,,0,3
6.493,6.493,1,0.24995,0.27915,0.26455,0.24168,0.25084,0.2951,CLOSED,0.11996,0,3
6.5817,6.5817,1,0.30423,0.3384,0.32132,0.26455,0.25084,0.2951,CLOSED,0.20869,0,3
6.6776,6.6776,1,0.34787,0.3822,0.36504,0.32132,0.25084,0.2951,OPENING,0.3046,0,3
6.7766,6.7766,1,0.36005,0.38944,0.37475,0.36504,0.25084,0.2951,OPEN,0.40355,1,4
6.887,6.887,1,0.36911,0.39605,0.38258,0.37475,0.25084,0.2951,OPEN,,0,4
6.9843,6.9843,1,0.3815,0.4097,0.3956,0.38258,0.25084,0.2951,OPEN,,0,4
7.0784,7.0784,1,0.38324,0.41357,0.3984,0.3956,0.25084,0.2951,OPEN,,0,4
7.1801,7.1801,1,0.33863,0.35774,0.34819,0.3956,0.25084,0.2951,OPEN,,0,4
7.2852,7.2852,1,0.1113,0.13142,0.12136,0.34819,0.25084,0.2951,OPEN,,0,4
7.3822,7.3822,1,0.17031,0.15338,0.16185,0.16185,0.25084,0.2951,CLOSING,,0,4
7.4813,7.4813,1,0.29888,0.29194,0.29541,0.16185,0.25084,0.2951,CLOSED,0.09911,0,4
7.5791,7.5791,1,0.34367,0.362,0.35283,0.29541,0.25084,0.2951,OPENING,0.19687,0,4
7.648,7.648,1,0.35193,0.37028,0.36111,0.35283,0.25084,0.2951,OPEN,0.26578,1,5
7.7816,7.7816,1,0.35962,0.37556,0.36759,0.36111,0.25084,0.2951,OPEN,,0,5
7.8778,7.8778,1,0.3581,0.38072,0.36941,0.36759,0.25084,0.2951,OPEN,,0,5
7.9809,7.9809,1,0.36926,0.38469,0.37697,0.36941,0.25084,0.2951,OPEN,,0,5
8.0482,8.0482,1,0.37172,0.38571,0.37871,0.37697,0.25084,0.2951,OPEN,,0,5
8.1932,8.1932,1,0.36894,0.38867,0.3788,0.37871,0.25084,0.2951,OPEN,,0,5
8.2832,8.2832,1,0.14586,0.1998,0.17283,0.37871,0.25084,0.2951,OPEN,,0,5
8.3882,8.3882,1,0.17485,0.2081,0.19148,0.19148,0.25084,0.2951,CLOSING,,0,5
8.4693,8.4693,1,0.18288,0.21549,0.19918,0.19148,0.25084,0.2951,CLOSED,0.08113,0,5
8.583,8.583,1,0.28252,0.3152,0.29886,0.19918,0.25084,0.2951,CLOSED,0.1948,0,5
8.6779,8.6779,1,0.30809,0.35557,0.33183,0.29886,0.25084,0.2951,OPENING,0.28967,0,5
8.7966,8.7966,1,0.32148,0.37159,0.34654,0.33183,0.25084,0.2951,OPEN,0.40841,1,6
8.8854,8.8854,1,0.3234,0.37194,0.34767,0.34654,0.25084,0.2951,OPEN,,0,6
8.9804,8.9804,1,0.32573,0.37476,0.35024,0.34767,0.25084,0.2951,OPEN,,0,6
9.0813,9.0813,1,0.33326,0.37666,0.35496,0.35024,0.25084,0.2951,OPEN,,0,6
9.1904,9.1904,1,0.33978,0.37917,0.35947,0.35496,0.25084,0.2951,OPEN,,0,6
9.2887,9.2887,1,0.33863,0.37671,0.35767,0.35767,0.25084,0.2951,OPEN,,0,6
9.384,9.384,1,0.33454,0.3711,0.35282,0.35767,0.25084,0.2951,OPEN,,0,6
9.4802,9.4802,1,0.33501,0.37163,0.35332,0.35332,0.25084,0.2951,OPEN,,0,6
9.5928,9.5928,1,0.33426,0.37123,0.35275,0.35282,0.25084,0.2951,OPEN,,0,6
9.6886,9.6886,1,0.34089,0.38209,0.36149,0.35332,0.25084,0.2951,OPEN,,0,6
9.7853,9.7853,1,0.34756,0.38622,0.36689,0.36149,0.25084,0.2951,OPEN,,0,6
9.8801,9.8801,1,0.35055,0.38635,0.36845,0.36689,0.25084,0.2951,OPEN,,0,6
9.9982,9.9982,1,0.13867,0.14527,0.14197,0.36689,0.25084,0.2951,OPEN,,0,6
10.0849,10.0849,1,0.15986,0.18503,0.17244,0.17244,0.25084,0.2951,CLOSING,,0,6
10.1831,10.1831,1,0.27224,0.30673,0.28948,0.17244,0.25084,0.2951,CLOSED,0.09821,0,6
