timestamp,elapsed_seconds,left_ear,right_ear,average_ear,smoothed_ear,eye_state,blink_event,blink_duration,face_detected
2026-08-11T22:31:36.788541,0.5712,0.387266,0.406596,0.396931,0.396931,OPEN,0,0.0,1
2026-08-11T22:31:36.926052,0.71,0.424462,0.42922,0.426841,0.407399,OPEN,0,0.0,1
2026-08-11T22:31:36.982815,0.7544,0.427533,0.428321,0.427927,0.414584,OPEN,0,0.0,1
2026-08-11T22:31:37.021297,0.8017,0.431114,0.427549,0.429331,0.419746,OPEN,0,0.0,1
2026-08-11T22:31:37.086396,0.8726,0.448607,0.426012,0.437309,0.425893,OPEN,0,0.0,1
2026-08-11T22:31:37.114795,0.901,0.449843,0.424548,0.437195,0.429849,OPEN,0,0.0,1
2026-08-11T22:31:37.145752,0.9303,0.450669,0.424226,0.437447,0.432508,OPEN,0,0.0,1
2026-08-11T22:31:37.194688,0.9721,0.391599,0.412214,0.401906,0.421798,OPEN,0,0.0,1
2026-08-11T22:31:37.225422,1.0092,0.370313,0.405386,0.38785,0.409916,OPEN,0,0.0,1
2026-08-11T22:31:37.271738,1.0395,0.369553,0.402775,0.386164,0.401603,OPEN,0,0.0,1
2026-08-11T22:31:37.311267,1.0868,0.365063,0.398294,0.381679,0.394629,OPEN,0,0.0,1
2026-08-11T22:31:37.346835,1.1348,0.358756,0.39814,0.378448,0.388966,OPEN,0,0.0,1
2026-08-11T22:31:37.376014,1.1609,0.356602,0.398556,0.377579,0.38498,OPEN,0,0.0,1
2026-08-11T22:31:37.403733,1.1899,0.380901,0.410985,0.395943,0.388817,OPEN,0,0.0,1
2026-08-11T22:31:37.428429,1.218,0.388856,0.414426,0.401641,0.393305,OPEN,0,0.0,1
2026-08-11T22:31:37.465215,1.2459,0.393076,0.415116,0.404096,0.397082,OPEN,0,0.0,1
2026-08-11T22:31:37.489012,1.2791,0.394182,0.407776,0.400979,0.398446,OPEN,0,0.0,1
2026-08-11T22:31:37.513949,1.3028,0.392095,0.406356,0.399226,0.398719,OPEN,0,0.0,1
2026-08-11T22:31:37.540006,1.329,0.389092,0.404712,0.396902,0.398083,OPEN,0,0.0,1
2026-08-11T22:31:37.584094,1.3689,0.385634,0.400722,0.393178,0.396366,OPEN,0,0.0,1
2026-08-11T22:31:37.612019,1.3984,0.378072,0.397186,0.387629,0.393308,OPEN,0,0.0,1
2026-08-11T22:31:37.647721,1.429,0.372364,0.394315,0.38334,0.389819,OPEN,0,0.0,1
2026-08-11T22:31:37.689217,1.4695,0.355016,0.376467,0.365741,0.381392,OPEN,0,0.0,1
2026-08-11T22:31:37.734369,1.5037,0.353163,0.380066,0.366615,0.37622,OPEN,0,0.0,1
2026-08-11T22:31:37.766249,1.5487,0.350082,0.381569,0.365826,0.372582,OPEN,0,0.0,1
2026-08-11T22:31:37.801287,1.581,0.360651,0.395166,0.377908,0.374446,OPEN,0,0.0,1
2026-08-11T22:31:37.826504,1.6151,0.359367,0.404988,0.382178,0.377152,OPEN,0,0.0,1
2026-08-11T22:31:37.859911,1.6494,0.361998,0.413604,0.387801,0.380879,OPEN,0,0.0,1
2026-08-11T22:31:37.890612,1.6777,0.366846,0.392268,0.379557,0.380417,OPEN,0,0.0,1
2026-08-11T22:31:37.925024,1.7114,0.374498,0.394714,0.384606,0.381883,OPEN,0,0.0,1
