timestamp,elapsed_seconds,left_ear,right_ear,average_ear,smoothed_ear,eye_state,blink_event,blink_duration,face_detected
2026-08-12T10:59:25.298865,0.6444,0.434049,0.474111,0.45408,0.45408,OPEN,0,0.0,1
2026-08-12T10:59:25.389979,0.734,0.402281,0.455435,0.428858,0.445252,OPEN,0,0.0,1
2026-08-12T10:59:25.438479,0.76,0.390177,0.443957,0.417067,0.435387,OPEN,0,0.0,1
2026-08-12T10:59:25.468850,0.8074,0.38628,0.440787,0.413534,0.427739,OPEN,0,0.0,1
2026-08-12T10:59:25.499932,0.8389,0.389129,0.438567,0.413848,0.422877,OPEN,0,0.0,1
2026-08-12T10:59:25.527357,0.8702,0.387682,0.436511,0.412097,0.419104,OPEN,0,0.0,1
2026-08-12T10:59:25.547187,0.8964,0.388644,0.438515,0.413579,0.41717,OPEN,0,0.0,1
2026-08-12T10:59:25.580365,0.9306,0.391357,0.438926,0.415142,0.41646,OPEN,0,0.0,1
2026-08-12T10:59:25.616303,0.9644,0.394111,0.441264,0.417688,0.41689,OPEN,0,0.0,1
2026-08-12T10:59:25.649242,0.9996,0.397151,0.443157,0.420154,0.418032,OPEN,0,0.0,1
2026-08-12T10:59:25.681678,1.0327,0.399993,0.451646,0.425819,0.420758,OPEN,0,0.0,1
2026-08-12T10:59:25.697623,1.0501,0.400833,0.460476,0.430654,0.424222,OPEN,0,0.0,1
2026-08-12T10:59:25.715056,1.0662,0.400648,0.457615,0.429132,0.42594,OPEN,0,0.0,1
2026-08-12T10:59:25.741775,1.0919,0.402387,0.454171,0.428279,0.426759,OPEN,0,0.0,1
2026-08-12T10:59:25.776691,1.1257,0.400318,0.445357,0.422837,0.425386,OPEN,0,0.0,1
2026-08-12T10:59:25.793934,1.1443,0.400825,0.448415,0.42462,0.425118,OPEN,0,0.0,1
2026-08-12T10:59:25.821887,1.1714,0.397761,0.448045,0.422903,0.424343,OPEN,0,0.0,1
2026-08-12T10:59:25.853327,1.2042,0.399601,0.452545,0.426073,0.424948,OPEN,0,0.0,1
2026-08-12T10:59:25.891574,1.2361,0.393328,0.450259,0.421793,0.423844,OPEN,0,0.0,1
2026-08-12T10:59:25.926483,1.2695,0.402001,0.455811,0.428906,0.425616,OPEN,0,0.0,1
2026-08-12T10:59:25.955576,1.2998,0.39915,0.455935,0.427542,0.42629,OPEN,0,0.0,1
2026-08-12T10:59:25.984708,1.3327,0.39852,0.449971,0.424245,0.425574,OPEN,0,0.0,1
2026-08-12T10:59:26.016796,1.3654,0.402009,0.457183,0.429596,0.426982,OPEN,0,0.0,1
2026-08-12T10:59:26.054212,1.3958,0.395089,0.455584,0.425336,0.426406,OPEN,0,0.0,1
2026-08-12T10:59:26.095430,1.4443,0.394875,0.455376,0.425125,0.425958,OPEN,0,0.0,1
2026-08-12T10:59:26.123518,1.4746,0.390697,0.450795,0.420746,0.424134,OPEN,0,0.0,1
2026-08-12T10:59:26.159222,1.5079,0.394367,0.447102,0.420735,0.422944,OPEN,0,0.0,1
2026-08-12T10:59:26.196434,1.5416,0.396463,0.455897,0.42618,0.424077,OPEN,0,0.0,1
2026-08-12T10:59:26.230548,1.5764,0.403119,0.447987,0.425553,0.424593,OPEN,0,0.0,1
2026-08-12T10:59:26.261697,1.6081,0.406523,0.449569,0.428046,0.425802,OPEN,0,0.0,1
2026-08-12T10:59:26.297092,1.6423,0.414279,0.453076,0.433677,0.428558,OPEN,0,0.0,1
2026-08-12T10:59:26.318227,1.6687,0.404741,0.446935,0.425838,0.427606,OPEN,0,0.0,1
2026-08-12T10:59:26.351336,1.7006,0.398287,0.440216,0.419252,0.424682,OPEN,0,0.0,1
2026-08-12T10:59:26.392504,1.7384,0.4011,0.43805,0.419575,0.422895,OPEN,0,0.0,1
2026-08-12T10:59:26.417470,1.7647,0.412352,0.441925,0.427138,0.42438,OPEN,0,0.0,1
2026-08-12T10:59:26.452404,1.7992,0.405376,0.44588,0.425628,0.424817,OPEN,0,0.0,1
2026-08-12T10:59:26.486811,1.8334,0.407662,0.442558,0.42511,0.424919,OPEN,0,0.0,1
2026-08-12T10:59:26.531638,1.8771,0.423385,0.443062,0.433223,0.427826,OPEN,0,0.0,1
2026-08-12T10:59:26.564150,1.9095,0.422912,0.448276,0.435594,0.430544,OPEN,0,0.0,1
2026-08-12T10:59:26.596065,1.9455,0.422249,0.46518,0.443714,0.435154,OPEN,0,0.0,1
2026-08-12T10:59:26.621602,1.9716,0.422379,0.460184,0.441282,0.437299,OPEN,0,0.0,1
2026-08-12T10:59:26.654786,2.0048,0.435342,0.465928,0.450635,0.441966,OPEN,0,0.0,1
2026-08-12T10:59:26.689109,2.0382,0.429107,0.460642,0.444875,0.442984,OPEN,0,0.0,1
2026-08-12T10:59:26.720617,2.0713,0.434223,0.472293,0.453258,0.44658,OPEN,0,0.0,1
2026-08-12T10:59:26.755478,2.1065,0.432079,0.46797,0.450025,0.447786,OPEN,0,0.0,1
2026-08-12T10:59:26.790604,2.1388,0.426216,0.467004,0.44661,0.447374,OPEN,0,0.0,1
2026-08-12T10:59:26.819395,2.1686,0.432997,0.4778,0.455398,0.450183,OPEN,0,0.0,1
2026-08-12T10:59:26.854353,2.202,0.429357,0.482503,0.45593,0.452194,OPEN,0,0.0,1
2026-08-12T10:59:26.887376,2.2357,0.437185,0.489403,0.463294,0.456079,OPEN,0,0.0,1
2026-08-12T10:59:26.945279,2.2865,0.416706,0.455814,0.43626,0.449142,OPEN,0,0.0,1
2026-08-12T10:59:26.971430,2.3202,0.423868,0.462088,0.442978,0.446985,OPEN,0,0.0,1
2026-08-12T10:59:27.004460,2.3542,0.415567,0.457571,0.436569,0.443339,OPEN,0,0.0,1
2026-08-12T10:59:27.038077,2.389,0.417498,0.456972,0.437235,0.441203,OPEN,0,0.0,1
2026-08-12T10:59:27.053550,2.4056,0.420093,0.458204,0.439149,0.440484,OPEN,0,0.0,1
2026-08-12T10:59:27.087833,2.4366,0.421445,0.455011,0.438228,0.439694,OPEN,0,0.0,1
2026-08-12T10:59:27.125858,2.4694,0.418419,0.452079,0.435249,0.438138,OPEN,0,0.0,1
2026-08-12T10:59:27.153366,2.5004,0.413298,0.446878,0.430088,0.435321,OPEN,0,0.0,1
2026-08-12T10:59:27.184637,2.5345,0.408889,0.443849,0.426369,0.432188,OPEN,0,0.0,1
2026-08-12T10:59:27.216276,2.5671,0.413643,0.44903,0.431337,0.43189,OPEN,0,0.0,1
2026-08-12T10:59:27.247328,2.5962,0.409925,0.448049,0.428987,0.430874,OPEN,0,0.0,1
2026-08-12T10:59:27.278623,2.6282,0.413788,0.456747,0.435268,0.432412,OPEN,0,0.0,1
2026-08-12T10:59:27.315835,2.6628,0.411935,0.456432,0.434184,0.433032,OPEN,0,0.0,1
2026-08-12T10:59:27.362116,2.7091,0.412421,0.454606,0.433513,0.4332,OPEN,0,0.0,1
2026-08-12T10:59:27.393265,2.7413,0.411711,0.456831,0.434271,0.433575,OPEN,0,0.0,1
2026-08-12T10:59:27.425959,2.7727,0.400943,0.452051,0.426497,0.431098,OPEN,0,0.0,1
2026-08-12T10:59:27.460366,2.8085,0.373336,0.426655,0.399996,0.420212,OPEN,0,0.0,1
2026-08-12T10:59:27.495647,2.8423,0.372006,0.422361,0.397183,0.412152,OPEN,0,0.0,1
2026-08-12T10:59:27.521692,2.8687,0.359203,0.429745,0.394474,0.405965,OPEN,0,0.0,1
