timestamp,elapsed,face_detected,left_ear,right_ear,average_ear,smoothed_ear,closing_threshold,opening_threshold,eye_state,closure_duration,blink_event,blink_count
0.0041,0.0041,1,0.33391,0.30798,0.32094,0.32094,0.24205,0.28476,OPEN,,0,0
0.0767,0.0767,1,0.35287,0.32754,0.3402,0.32768,0.24205,0.28476,OPEN,,0,0
0.1268,0.1268,1,0.34169,0.31801,0.32985,0.32844,0.24205,0.28476,OPEN,,0,0
0.165,0.165,1,0.33531,0.31603,0.32567,0.32747,0.24205,0.28476,OPEN,,0,0
0.2041,0.2041,1,0.33833,0.31641,0.32737,0.32744,0.24205,0.28476,OPEN,,0,0
0.2551,0.2551,1,0.33995,0.31826,0.3291,0.32802,0.24205,0.28476,OPEN,,0,0
0.2878,0.2878,1,0.33641,0.33155,0.33398,0.3301,0.24205,0.28476,OPEN,,0,0
0.3162,0.3162,1,0.33693,0.32988,0.3334,0.33126,0.24205,0.28476,OPEN,,0,0
0.3553,0.3553,1,0.34491,0.32034,0.33263,0.33174,0.24205,0.28476,OPEN,,0,0
0.4029,0.4029,1,0.35076,0.32235,0.33655,0.33342,0.24205,0.28476,OPEN,,0,0
0.4359,0.4359,1,0.34447,0.31874,0.3316,0.33279,0.24205,0.28476,OPEN,,0,0
0.4709,0.4709,1,0.35688,0.31838,0.33763,0.33448,0.24205,0.28476,OPEN,,0,0
0.4998,0.4998,1,0.38114,0.3375,0.35932,0.34317,0.24205,0.28476,OPEN,,0,0
0.5393,0.5393,1,0.38762,0.34727,0.36745,0.35167,0.24205,0.28476,OPEN,,0,0
0.574,0.574,1,0.37997,0.3425,0.36123,0.35502,0.24205,0.28476,OPEN,,0,0
0.601,0.601,1,0.37799,0.34999,0.36399,0.35816,0.24205,0.28476,OPEN,,0,0
0.6385,0.6385,1,0.35844,0.34216,0.3503,0.35541,0.24205,0.28476,OPEN,,0,0
0.6671,0.6671,1,0.35151,0.34521,0.34836,0.35294,0.24205,0.28476,OPEN,,0,0
0.6933,0.6933,1,0.35253,0.3417,0.34711,0.3509,0.24205,0.28476,OPEN,,0,0
0.7329,0.7329,1,0.35278,0.34478,0.34878,0.35016,0.24205,0.28476,OPEN,,0,0
0.7607,0.7607,1,0.35816,0.32719,0.34267,0.34754,0.24205,0.28476,OPEN,,0,0
0.7932,0.7932,1,0.35714,0.32715,0.34214,0.34565,0.24205,0.28476,OPEN,,0,0
0.8359,0.8359,1,0.351,0.32353,0.33726,0.34272,0.24205,0.28476,OPEN,,0,0
0.8684,0.8684,1,0.35082,0.32748,0.33915,0.34147,0.24205,0.28476,OPEN,,0,0
0.8964,0.8964,1,0.34999,0.31503,0.33251,0.33833,0.24205,0.28476,OPEN,,0,0
0.9368,0.9368,1,0.36359,0.32858,0.34608,0.34104,0.24205,0.28476,OPEN,,0,0
0.9688,0.9688,1,0.36246,0.33777,0.35011,0.34422,0.24205,0.28476,OPEN,,0,0
0.9951,0.9951,1,0.36437,0.33772,0.35105,0.34661,0.24205,0.28476,OPEN,,0,0
1.0222,1.0222,1,0.37363,0.34716,0.36039,0.35143,0.24205,0.28476,OPEN,,0,0
1.0588,1.0588,1,0.37826,0.35416,0.36621,0.35661,0.24205,0.28476,OPEN,,0,0
1.0843,1.0843,1,0.39732,0.38469,0.39101,0.36865,0.24205,0.28476,OPEN,,0,0
1.1189,1.1189,1,0.40707,0.39629,0.40168,0.38021,0.24205,0.28476,OPEN,,0,0
1.1539,1.1539,1,0.40349,0.39355,0.39852,0.38662,0.24205,0.28476,OPEN,,0,0
1.1848,1.1848,1,0.40162,0.39196,0.39679,0.39018,0.24205,0.28476,OPEN,,0,0
1.2195,1.2195,1,0.39774,0.37941,0.38858,0.38962,0.24205,0.28476,OPEN,,0,0
1.2512,1.2512,1,0.39371,0.36988,0.38179,0.38688,0.24205,0.28476,OPEN,,0,0
1.2851,1.2851,1,0.39035,0.36467,0.37751,0.3836,0.24205,0.28476,OPEN,,0,0
1.3212,1.3212,1,0.38746,0.36012,0.37379,0.38017,0.24205,0.28476,OPEN,,0,0
1.359,1.359,1,0.38588,0.35794,0.37191,0.37728,0.24205,0.28476,OPEN,,0,0
1.402,1.402,1,0.38349,0.35555,0.36952,0.37456,0.24205,0.28476,OPEN,,0,0
1.4396,1.4396,1,0.38921,0.36825,0.37873,0.37602,0.24205,0.28476,OPEN,,0,0
1.4845,1.4845,1,0.39295,0.37908,0.38601,0.37952,0.24205,0.28476,OPEN,,0,0
1.518,1.518,1,0.39886,0.38206,0.39046,0.38335,0.24205,0.28476,OPEN,,0,0
1.5941,1.5941,1,0.39814,0.3804,0.38927,0.38542,0.24205,0.28476,OPEN,,0,0
1.6253,1.6253,1,0.39906,0.3806,0.38983,0.38696,0.24205,0.28476,OPEN,,0,0
1.6702,1.6702,1,0.2748,0.20795,0.24138,0.33601,0.24205,0.28476,OPEN,,0,0
1.6958,1.6958,1,0.27437,0.21255,0.24346,0.30362,0.24205,0.28476,OPEN,,0,0
1.7232,1.7232,1,0.1347,0.10678,0.12074,0.23961,0.24205,0.28476,CLOSING,,0,0
1.7664,1.7664,1,0.10569,0.08752,0.0966,,0.24205,0.28476,CLOSING,,0,0
1.7941,1.7941,1,0.1911,0.16009,0.17559,0.2172,0.24205,0.28476,CLOSED,0.07087,0,0
1.837,1.837,1,0.23769,0.24144,0.23956,0.22503,0.24205,0.28476,CLOSED,0.11378,0,0
1.8621,1.8621,1,0.36661,0.3784,0.37251,0.27665,0.24205,0.28476,CLOSED,0.13885,0,0
1.8835,1.8835,1,0.4042,0.41088,0.40754,0.32246,0.24205,0.28476,OPENING,0.16026,0,0
1.9188,1.9188,1,0.41402,0.4291,0.42156,0.35715,0.24205,0.28476,OPEN,0.1956,1,1
1.9518,1.9518,1,0.41269,0.43001,0.42135,0.37962,0.24205,0.28476,OPEN,,0,1
1.9922,1.9922,1,0.42095,0.42948,0.42522,0.39558,0.24205,0.28476,OPEN,,0,1
2.0192,2.0192,1,0.42485,0.4319,0.42838,0.40706,0.24205,0.28476,OPEN,,0,1
2.0575,2.0575,1,0.43008,0.43769,0.43389,0.41645,0.24205,0.28476,OPEN,,0,1
2.0847,2.0847,1,0.4297,0.43901,0.43435,0.42271,0.24205,0.28476,OPEN,,0,1
2.1223,2.1223,1,0.43057,0.43129,0.43093,0.42559,0.24205,0.28476,OPEN,,0,1
2.145,2.145,1,0.4306,0.43438,0.43249,0.42801,0.24205,0.28476,OPEN,,0,1
2.1896,2.1896,1,0.4286,0.42862,0.42861,0.42822,0.24205,0.28476,OPEN,,0,1
2.2189,2.2189,1,0.43113,0.42947,0.4303,0.42895,0.24205,0.28476,OPEN,,0,1
2.2525,2.2525,1,0.42732,0.42885,0.42808,0.42864,0.24205,0.28476,OPEN,,0,1
2.2769,2.2769,1,0.42532,0.42795,0.42663,0.42794,0.24205,0.28476,OPEN,,0,1
2.3299,2.3299,1,0.42622,0.42612,0.42617,0.42732,0.24205,0.28476,OPEN,,0,1
2.386,2.386,1,0.42454,0.4248,0.42467,0.42639,0.24205,0.28476,OPEN,,0,1
2.4366,2.4366,1,0.4247,0.41975,0.42223,0.42493,0.24205,0.28476,OPEN,,0,1
2.466,2.466,1,0.42484,0.41906,0.42195,0.42389,0.24205,0.28476,OPEN,,0,1
2.4909,2.4909,1,0.42147,0.4136,0.41753,0.42167,0.24205,0.28476,OPEN,,0,1
2.5177,2.5177,1,0.42488,0.41262,0.41875,0.42064,0.24205,0.28476,OPEN,,0,1
2.5453,2.5453,1,0.42664,0.41268,0.41966,0.4203,0.24205,0.28476,OPEN,,0,1
2.579,2.579,1,0.42313,0.41056,0.41684,0.41909,0.24205,0.28476,OPEN,,0,1
2.6145,2.6145,1,0.43539,0.41693,0.42616,0.42157,0.24205,0.28476,OPEN,,0,1
2.6416,2.6416,1,0.43253,0.42023,0.42638,0.42325,0.24205,0.28476,OPEN,,0,1
2.6658,2.6658,1,0.4359,0.42364,0.42977,0.42553,0.24205,0.28476,OPEN,,0,1
2.6836,2.6836,1,0.44085,0.42617,0.43351,0.42832,0.24205,0.28476,OPEN,,0,1
2.7319,2.7319,1,0.42597,0.40672,0.41635,0.42413,0.24205,0.28476,OPEN,,0,1
2.7669,2.7669,1,0.43451,0.42248,0.42849,0.42566,0.24205,0.28476,OPEN,,0,1
2.8013,2.8013,1,0.42993,0.41148,0.42071,0.42393,0.24205,0.28476,OPEN,,0,1
2.8324,2.8324,1,0.43611,0.42278,0.42944,0.42586,0.24205,0.28476,OPEN,,0,1
2.869,2.869,1,0.44161,0.42646,0.43403,0.42872,0.24205,0.28476,OPEN,,0,1
2.9185,2.9185,1,0.44569,0.43425,0.43997,0.43266,0.24205,0.28476,OPEN,,0,1
2.9512,2.9512,1,0.39734,0.35412,0.37573,0.41273,0.24205,0.28476,OPEN,,0,1
2.9726,2.9726,1,0.39307,0.3633,0.37818,0.40064,0.24205,0.28476,OPEN,,0,1
3.0177,3.0177,1,0.13527,0.12389,0.12958,0.30577,0.24205,0.28476,OPEN,,0,1
3.0535,3.0535,1,0.10933,0.09715,0.10324,0.23488,0.24205,0.28476,CLOSING,,0,1
3.1006,3.1006,1,0.10553,0.09677,0.10115,0.18808,0.24205,0.28476,CLOSING,0.04713,0,1
3.1318,3.1318,1,0.09757,0.09233,0.09495,,0.24205,0.28476,CLOSING,,0,1
3.1702,3.1702,1,0.14873,0.11309,0.13091,0.16807,0.24205,0.28476,CLOSED,0.11677,0,1
3.1996,3.1996,1,0.15438,0.12167,0.13802,0.15755,0.24205,0.28476,CLOSED,0.14616,0,1
3.2333,3.2333,1,0.35753,0.29512,0.32633,0.21662,0.24205,0.28476,CLOSED,0.17978,0,1
3.2725,3.2725,1,0.38004,0.33381,0.35692,0.26573,0.24205,0.28476,CLOSED,0.21899,0,1
3.2957,3.2957,1,0.42148,0.38504,0.40326,0.31387,0.24205,0.28476,OPENING,0.24225,0,1
3.331,3.331,1,0.41656,0.39383,0.40519,0.34583,0.24205,0.28476,OPEN,0.27754,1,2
3.3678,3.3678,1,0.44587,0.41685,0.43136,0.37577,0.24205,0.28476,OPEN,,0,2
3.4087,3.4087,1,0.44182,0.42238,0.4321,0.39548,0.24205,0.28476,OPEN,,0,2
3.4386,3.4386,1,0.42424,0.40282,0.41353,0.4018,0.24205,0.28476,OPEN,,0,2
3.4666,3.4666,1,0.41452,0.40595,0.41023,0.40475,0.24205,0.28476,OPEN,,0,2
3.5055,3.5055,1,0.44192,0.42932,0.43562,0.41556,0.24205,0.28476,OPEN,,0,2
3.552,3.552,1,0.45434,0.44509,0.44972,0.42751,0.24205,0.28476,OPEN,,0,2
3.5904,3.5904,1,0.43558,0.42211,0.42884,0.42798,0.24205,0.28476,OPEN,,0,2
3.6186,3.6186,1,0.43188,0.42158,0.42673,0.42754,0.24205,0.28476,OPEN,,0,2
3.6465,3.6465,1,0.42053,0.41137,0.41595,0.42348,0.24205,0.28476,OPEN,,0,2
3.6806,3.6806,1,0.42177,0.40542,0.4136,0.42002,0.24205,0.28476,OPEN,,0,2
3.7336,3.7336,1,0.42614,0.38558,0.40586,0.41507,0.24205,0.28476,OPEN,,0,2
3.7869,3.7869,1,0.42605,0.40565,0.41585,0.41534,0.24205,0.28476,OPEN,,0,2
3.8152,3.8152,1,0.4221,0.40961,0.41585,0.41552,0.24205,0.28476,OPEN,,0,2
3.8678,3.8678,1,0.4328,0.40662,0.41971,0.41699,0.24205,0.28476,OPEN,,0,2
3.891,3.891,1,0.43975,0.42966,0.43471,0.42319,0.24205,0.28476,OPEN,,0,2
3.9313,3.9313,1,0.4305,0.40325,0.41687,0.42098,0.24205,0.28476,OPEN,,0,2
3.9685,3.9685,1,0.41107,0.40395,0.40751,0.41626,0.24205,0.28476,OPEN,,0,2
4.0043,4.0043,1,0.45125,0.44071,0.44598,0.42666,0.24205,0.28476,OPEN,,0,2
4.0397,4.0397,1,0.44294,0.42115,0.43205,0.42855,0.24205,0.28476,OPEN,,0,2
4.0845,4.0845,1,0.44539,0.41502,0.43021,0.42913,0.24205,0.28476,OPEN,,0,2
4.1199,4.1199,1,0.45677,0.43634,0.44656,0.43523,0.24205,0.28476,OPEN,,0,2
4.1531,4.1531,1,0.22156,0.21915,0.22036,0.36002,0.24205,0.28476,OPEN,,0,2
4.1909,4.1909,1,0.16941,0.16318,0.1663,0.29222,0.24205,0.28476,OPEN,,0,2
4.2186,4.2186,1,0.0725,0.08377,0.07813,,0.24205,0.28476,OPEN,,0,2
4.2498,4.2498,1,0.07062,0.09655,0.08359,,0.24205,0.28476,OPEN,,0,2
4.2809,4.2809,1,0.06279,0.07923,0.07101,,0.24205,0.28476,OPEN,,0,2
4.3131,4.3131,1,0.04424,0.05588,0.05006,,0.24205,0.28476,OPEN,,0,2
4.3646,4.3646,1,0.19966,0.24468,0.22217,0.2677,0.24205,0.28476,OPEN,,0,2
4.4011,4.4011,1,0.24985,0.24478,0.24732,0.26057,0.24205,0.28476,OPEN,,0,2
4.434,4.434,1,0.38939,0.3782,0.38379,0.3037,0.24205,0.28476,OPEN,,0,2
4.4614,4.4614,1,0.40347,0.40721,0.40534,0.33927,0.24205,0.28476,OPEN,,0,2
4.5005,4.5005,1,0.43006,0.40846,0.41926,0.36727,0.24205,0.28476,OPEN,,0,2
4.5395,4.5395,1,0.43269,0.41463,0.42366,0.387,0.24205,0.28476,OPEN,,0,2
4.6045,4.6045,1,0.43751,0.4176,0.42756,0.4012,0.24205,0.28476,OPEN,,0,2
4.6678,4.6678,1,0.34525,0.41212,0.37868,0.39332,0.24205,0.28476,OPEN,,0,2
4.6943,4.6943,1,0.3428,0.41649,0.37965,0.38853,0.24205,0.28476,OPEN,,0,2
4.73,4.73,1,0.36577,0.38088,0.37333,0.38321,0.24205,0.28476,OPEN,,0,2
4.7687,4.7687,1,0.37975,0.37087,0.37531,0.38045,0.24205,0.28476,OPEN,,0,2
4.8042,4.8042,1,0.13163,0.14114,0.13638,0.29502,0.24205,0.28476,OPEN,,0,2
4.8348,4.8348,1,0.07475,0.07462,0.07469,,0.24205,0.28476,OPEN,,0,2
4.8678,4.8678,1,0.07814,0.06714,0.07264,,0.24205,0.28476,OPEN,,0,2
4.8959,4.8959,1,0.0668,0.03603,0.05141,,0.24205,0.28476,OPEN,,0,2
