timestamp,elapsed_seconds,left_ear,right_ear,average_ear,face_detected
2026-08-11T18:40:36.023663,3.2022,0.396903,0.361788,0.379345,1
2026-08-11T18:40:36.166799,3.3453,0.0,0.0,0.0,0
2026-08-11T18:40:36.209480,3.378,0.393414,0.398566,0.39599,1
2026-08-11T18:40:36.266081,3.4445,0.388152,0.398403,0.393278,1
2026-08-11T18:40:36.305041,3.4771,0.38326,0.395636,0.389448,1
2026-08-11T18:40:36.344023,3.5204,0.377865,0.389543,0.383704,1
2026-08-11T18:40:36.379132,3.5557,0.379301,0.384962,0.382132,1
2026-08-11T18:40:36.415274,3.591,0.386969,0.384984,0.385976,1
2026-08-11T18:40:36.443883,3.6249,0.389575,0.385349,0.387462,1
2026-08-11T18:40:36.474033,3.6545,0.398338,0.390438,0.394388,1
2026-08-11T18:40:36.505128,3.685,0.402414,0.397351,0.399882,1
2026-08-11T18:40:36.540408,3.7155,0.413236,0.409877,0.411556,1
2026-08-11T18:40:36.576180,3.7524,0.416236,0.417468,0.416852,1
2026-08-11T18:40:36.613091,3.7875,0.413992,0.411356,0.412674,1
2026-08-11T18:40:36.647578,3.8234,0.413304,0.413109,0.413207,1
2026-08-11T18:40:36.683900,3.8579,0.423664,0.415242,0.419453,1
2026-08-11T18:40:36.719063,3.8946,0.428777,0.422096,0.425436,1
2026-08-11T18:40:36.756600,3.9289,0.423336,0.419446,0.421391,1
2026-08-11T18:40:36.792446,3.9667,0.420191,0.412032,0.416112,1
2026-08-11T18:40:36.826021,4.0035,0.391362,0.362378,0.37687,1
2026-08-11T18:40:36.860614,4.0364,0.38907,0.360368,0.374719,1
2026-08-11T18:40:36.890097,4.0704,0.391478,0.370674,0.381076,1
2026-08-11T18:40:36.921509,4.1011,0.392542,0.375848,0.384195,1
2026-08-11T18:40:36.952086,4.1329,0.400498,0.373558,0.387028,1
2026-08-11T18:40:36.981020,4.1611,0.406309,0.377904,0.392106,1
2026-08-11T18:40:37.015781,4.1915,0.421846,0.400191,0.411019,1
2026-08-11T18:40:37.049068,4.226,0.42733,0.407266,0.417298,1
2026-08-11T18:40:37.102862,4.2793,0.421187,0.40104,0.411114,1
2026-08-11T18:40:37.140023,4.3128,0.424065,0.399563,0.411814,1
2026-08-11T18:40:37.169078,4.3521,0.399403,0.393469,0.396436,1
2026-08-11T18:40:37.200317,4.3802,0.401925,0.391875,0.3969,1
2026-08-11T18:40:37.228470,4.4101,0.425564,0.418745,0.422155,1
2026-08-11T18:40:37.255814,4.4387,0.431636,0.418513,0.425074,1
2026-08-11T18:40:37.281899,4.4661,0.431107,0.418317,0.424712,1
2026-08-11T18:40:37.314703,4.4923,0.434302,0.415229,0.424765,1
2026-08-11T18:40:37.340801,4.5243,0.410588,0.409228,0.409908,1
2026-08-11T18:40:37.368382,4.5511,0.407591,0.4099,0.408745,1
2026-08-11T18:40:37.400439,4.5788,0.395587,0.402926,0.399256,1
2026-08-11T18:40:37.425814,4.6103,0.407817,0.392083,0.39995,1
2026-08-11T18:40:37.474265,4.657,0.363287,0.361508,0.362397,1
2026-08-11T18:40:37.500189,4.6846,0.35959,0.359111,0.35935,1
2026-08-11T18:40:37.553639,4.738,0.436605,0.409182,0.422893,1
2026-08-11T18:40:37.579143,4.7633,0.451148,0.420442,0.435795,1
2026-08-11T18:40:37.613955,4.7897,0.455335,0.426187,0.440761,1
2026-08-11T18:40:37.640934,4.8235,0.369184,0.345828,0.357506,1
2026-08-11T18:40:37.667158,4.8513,0.395866,0.336733,0.3663,1
2026-08-11T18:40:37.702679,4.8778,0.316154,0.277655,0.296905,1
2026-08-11T18:40:37.729461,4.9134,0.321182,0.288325,0.304753,1
2026-08-11T18:40:37.754907,4.9435,0.0,0.0,0.0,0
2026-08-11T18:40:37.789846,4.9669,0.346583,0.268108,0.307345,1
2026-08-11T18:40:37.828178,5.0116,0.310088,0.337746,0.323917,1
2026-08-11T18:40:37.853916,5.0378,0.378361,0.344452,0.361406,1
2026-08-11T18:40:37.883544,5.0714,0.0,0.0,0.0,0
2026-08-11T18:40:37.915034,5.0943,0.391393,0.337946,0.364669,1
2026-08-11T18:40:37.968795,5.1525,0.41912,0.390877,0.404999,1
2026-08-11T18:40:37.997548,5.1796,0.391766,0.36027,0.376018,1
2026-08-11T18:40:38.037188,5.2203,0.391466,0.397178,0.394322,1
2026-08-11T18:40:38.063198,5.2469,0.395414,0.390616,0.393015,1
2026-08-11T18:40:38.094413,5.2781,0.418206,0.41193,0.415068,1
2026-08-11T18:40:38.121521,5.305,0.43413,0.419858,0.426994,1
2026-08-11T18:40:38.177285,5.3609,0.399626,0.379589,0.389608,1
2026-08-11T18:40:38.204107,5.388,0.399358,0.382852,0.391105,1
2026-08-11T18:40:38.243554,5.4273,0.36923,0.36356,0.366395,1
2026-08-11T18:40:38.270358,5.4537,0.397822,0.379737,0.38878,1
2026-08-11T18:40:38.302521,5.4864,0.415038,0.364199,0.389619,1
2026-08-11T18:40:38.327757,5.5123,0.393618,0.350857,0.372238,1
2026-08-11T18:40:38.380003,5.5643,0.421016,0.397219,0.409118,1
2026-08-11T18:40:38.405988,5.5888,0.403208,0.396054,0.399631,1
2026-08-11T18:40:38.463681,5.6164,0.403684,0.396969,0.400327,1
2026-08-11T18:40:38.532610,5.7034,0.419446,0.392942,0.406194,1
2026-08-11T18:40:38.561043,5.7418,0.406591,0.377821,0.392206,1
2026-08-11T18:40:38.589739,5.7719,0.421726,0.387882,0.404804,1
2026-08-11T18:40:38.614801,5.7989,0.430386,0.409122,0.419754,1
2026-08-11T18:40:38.642967,5.8249,0.408454,0.405988,0.407221,1
2026-08-11T18:40:38.667976,5.8521,0.414931,0.397877,0.406404,1
2026-08-11T18:40:38.692726,5.8782,0.429907,0.418052,0.42398,1
2026-08-11T18:40:38.724169,5.9036,0.436562,0.415009,0.425785,1
2026-08-11T18:40:38.750344,5.9346,0.42499,0.414798,0.419894,1
2026-08-11T18:40:38.782032,5.9595,0.424524,0.412536,0.41853,1
2026-08-11T18:40:38.807830,5.9923,0.397714,0.398551,0.398133,1
2026-08-11T18:40:38.834720,6.0185,0.392319,0.390736,0.391528,1
2026-08-11T18:40:38.867287,6.0493,0.408816,0.404457,0.406637,1
2026-08-11T18:40:38.897004,6.0769,0.408422,0.401831,0.405126,1
2026-08-11T18:40:38.925149,6.1089,0.417485,0.406966,0.412225,1
2026-08-11T18:40:38.950605,6.1345,0.417349,0.412336,0.414843,1
2026-08-11T18:40:38.976977,6.1609,0.41812,0.414795,0.416457,1
2026-08-11T18:40:39.005961,6.1893,0.4076,0.417496,0.412548,1
2026-08-11T18:40:39.079320,6.2611,0.41948,0.411272,0.415376,1
2026-08-11T18:40:39.106381,6.29,0.421728,0.410371,0.416049,1
2026-08-11T18:40:39.152140,6.3355,0.405875,0.400094,0.402984,1
2026-08-11T18:40:39.178610,6.3617,0.402995,0.396411,0.399703,1
2026-08-11T18:40:39.205108,6.3883,0.402037,0.394956,0.398497,1
2026-08-11T18:40:39.232761,6.4158,0.400391,0.393226,0.396809,1
2026-08-11T18:40:39.261653,6.4431,0.398096,0.398295,0.398195,1
2026-08-11T18:40:39.288129,6.4714,0.395902,0.392228,0.394065,1
2026-08-11T18:40:39.315284,6.4987,0.389142,0.386816,0.387979,1
2026-08-11T18:40:39.357459,6.5412,0.407444,0.392478,0.399961,1
2026-08-11T18:40:39.384198,6.5669,0.413328,0.400136,0.406732,1
2026-08-11T18:40:39.423932,6.6073,0.414787,0.408376,0.411581,1
2026-08-11T18:40:39.450190,6.6335,0.415432,0.410261,0.412846,1
2026-08-11T18:40:39.489152,6.6723,0.400424,0.391149,0.395786,1
2026-08-11T18:40:39.516941,6.6991,0.401128,0.391905,0.396517,1
2026-08-11T18:40:39.568976,6.7528,0.409584,0.390816,0.4002,1
2026-08-11T18:40:39.594526,6.7785,0.407103,0.391051,0.399077,1
2026-08-11T18:40:39.633643,6.8163,0.413109,0.394755,0.403932,1
