timestamp,elapsed,face_detected,left_ear,right_ear,average_ear,smoothed_ear,closing_threshold,opening_threshold,eye_state,closure_duration,blink_event,blink_count
0.0035,0.0035,1,0.27342,0.21274,0.24308,0.24308,0.29426,0.34619,CLOSING,,0,0
0.0754,0.0754,1,0.27631,0.2062,0.24126,0.24244,0.29426,0.34619,CLOSED,0.0719,0,0
0.1408,0.1408,1,0.31994,0.30361,0.31178,0.26671,0.29426,0.34619,CLOSED,0.13735,0,0
0.1678,0.1678,1,0.32624,0.29985,0.31304,0.28293,0.29426,0.34619,CLOSED,0.16435,0,0
0.2042,0.2042,1,0.34362,0.31626,0.32994,0.29938,0.29426,0.34619,CLOSED,0.20071,0,0
0.2322,0.2322,1,0.34232,0.30413,0.32322,0.30773,0.29426,0.34619,CLOSED,0.22869,0,0
0.269,0.269,1,0.36554,0.32915,0.34735,0.32159,0.29426,0.34619,CLOSED,0.26551,0,0
0.2907,0.2907,1,0.37231,0.33372,0.35301,0.33259,0.29426,0.34619,CLOSED,0.28722,0,0
0.334,0.334,1,0.36131,0.32707,0.34419,0.33665,0.29426,0.34619,CLOSED,0.33056,0,0
0.3719,0.3719,1,0.3624,0.33277,0.34758,0.34048,0.29426,0.34619,CLOSED,0.36839,0,0
0.4079,0.4079,1,0.36702,0.32594,0.34648,0.34258,0.29426,0.34619,CLOSED,0.40442,0,0
0.4337,0.4337,1,0.36118,0.33516,0.34817,0.34453,0.29426,0.34619,CLOSED,0.43024,0,0
0.474,0.474,1,0.36346,0.32578,0.34462,0.34456,0.29426,0.34619,CLOSED,0.4705,0,0
0.4971,0.4971,1,0.37158,0.32473,0.34815,0.34582,0.29426,0.34619,CLOSED,0.49367,0,0
0.5466,0.5466,1,0.35189,0.35838,0.35514,0.34908,0.29426,0.34619,OPENING,0.54314,0,0
0.5701,0.5701,1,0.35127,0.36927,0.36027,0.353,0.29426,0.34619,OPEN,0.56659,1,1
0.6107,0.6107,1,0.30799,0.23435,0.27117,0.32436,0.29426,0.34619,OPEN,,0,1
0.637,0.637,1,0.27475,0.21846,0.2466,0.29714,0.29426,0.34619,OPEN,,0,1
0.6732,0.6732,1,0.36053,0.31338,0.33696,0.31108,0.29426,0.34619,OPEN,,0,1
0.7015,0.7015,1,0.39126,0.34888,0.37007,0.33172,0.29426,0.34619,OPEN,,0,1
0.7396,0.7396,1,0.4075,0.35622,0.38186,0.34927,0.29426,0.34619,OPEN,,0,1
0.7632,0.7632,1,0.41326,0.36112,0.38719,0.36254,0.29426,0.34619,OPEN,,0,1
0.798,0.798,1,0.4175,0.37596,0.39673,0.37451,0.29426,0.34619,OPEN,,0,1
0.8322,0.8322,1,0.42007,0.38199,0.40103,0.38379,0.29426,0.34619,OPEN,,0,1
0.8776,0.8776,1,0.40822,0.36422,0.38622,0.38464,0.29426,0.34619,OPEN,,0,1
0.9072,0.9072,1,0.43179,0.38231,0.40705,0.39248,0.29426,0.34619,OPEN,,0,1
0.9406,0.9406,1,0.41991,0.37977,0.39984,0.39506,0.29426,0.34619,OPEN,,0,1
0.9741,0.9741,1,0.41224,0.3763,0.39427,0.39478,0.29426,0.34619,OPEN,,0,1
1.0087,1.0087,1,0.45338,0.41029,0.43183,0.40775,0.29426,0.34619,OPEN,,0,1
1.0418,1.0418,1,0.46263,0.42071,0.44167,0.41962,0.29426,0.34619,OPEN,,0,1
1.0692,1.0692,1,0.45386,0.38328,0.41857,0.41925,0.29426,0.34619,OPEN,,0,1
1.1085,1.1085,1,0.46455,0.34931,0.40693,0.41494,0.29426,0.34619,OPEN,,0,1
1.1425,1.1425,1,0.45658,0.35076,0.40367,0.411,0.29426,0.34619,OPEN,,0,1
1.1733,1.1733,1,0.46704,0.38147,0.42425,0.41564,0.29426,0.34619,OPEN,,0,1
1.2105,1.2105,1,0.48187,0.41308,0.44748,0.42678,0.29426,0.34619,OPEN,,0,1
1.2396,1.2396,1,0.484,0.41827,0.45113,0.4353,0.29426,0.34619,OPEN,,0,1
1.277,1.277,1,0.54171,0.47867,0.51019,0.46151,0.29426,0.34619,OPEN,,0,1
1.3041,1.3041,1,0.5552,0.48991,0.52255,0.48288,0.29426,0.34619,OPEN,,0,1
1.3521,1.3521,1,0.54118,0.48889,0.51503,0.49413,0.29426,0.34619,OPEN,,0,1
1.3898,1.3898,1,0.53092,0.47906,0.50499,0.49793,0.29426,0.34619,OPEN,,0,1
1.4235,1.4235,1,0.47879,0.39165,0.43522,0.47598,0.29426,0.34619,OPEN,,0,1
1.4558,1.4558,1,0.48372,0.40218,0.44295,0.46442,0.29426,0.34619,OPEN,,0,1
1.4859,1.4859,1,0.50094,0.4329,0.46692,0.4653,0.29426,0.34619,OPEN,,0,1
1.5085,1.5085,1,0.50419,0.43502,0.46961,0.4668,0.29426,0.34619,OPEN,,0,1
1.5327,1.5327,1,0.50394,0.45124,0.47759,0.47058,0.29426,0.34619,OPEN,,0,1
1.5616,1.5616,1,0.51887,0.45363,0.48625,0.47607,0.29426,0.34619,OPEN,,0,1
1.5974,1.5974,1,0.52402,0.4484,0.48621,0.47962,0.29426,0.34619,OPEN,,0,1
1.6257,1.6257,1,0.52105,0.44113,0.48109,0.48013,0.29426,0.34619,OPEN,,0,1
1.6783,1.6783,1,0.47361,0.41511,0.44436,0.46761,0.29426,0.34619,OPEN,,0,1
1.7037,1.7037,1,0.47092,0.41852,0.44472,0.4596,0.29426,0.34619,OPEN,,0,1
1.7432,1.7432,1,0.50484,0.43931,0.47207,0.46397,0.29426,0.34619,OPEN,,0,1
1.7726,1.7726,1,0.50505,0.43891,0.47198,0.46677,0.29426,0.34619,OPEN,,0,1
1.8072,1.8072,1,0.53854,0.48022,0.50938,0.48168,0.29426,0.34619,OPEN,,0,1
1.8399,1.8399,1,0.54007,0.47921,0.50964,0.49147,0.29426,0.34619,OPEN,,0,1
1.8694,1.8694,1,0.5215,0.46028,0.49089,0.49126,0.29426,0.34619,OPEN,,0,1
1.9098,1.9098,1,0.51206,0.45128,0.48167,0.48791,0.29426,0.34619,OPEN,,0,1
1.9513,1.9513,1,0.50838,0.4676,0.48799,0.48794,0.29426,0.34619,OPEN,,0,1
1.9826,1.9826,1,0.49603,0.45454,0.47529,0.48351,0.29426,0.34619,OPEN,,0,1
