manual_blink_index,timestamp_seconds
1,108.9354
2,114.3455
3,114.7475
4,115.1112
5,115.5468
6,115.8467
7,116.1551
8,116.4641
9,116.7124
10,116.9129
11,117.1116
12,117.3291
13,117.5645
14,117.7191
15,117.9625
16,118.1549
17,118.3622
18,118.5602
19,118.7657
20,118.9786
21,119.1899
22,119.3758
23,119.5927
